tconst	titleType	title	year	endYear	isAdult	runtime	genres	rating	numVotes	description	cast	streaming_platforms	url	scrape_status
tt0318913	tvSeries	Teenage Mutant Ninja Turtles	2003.0	2010	0.0	30	Action,Adventure,Animation	7.9	14366.0	When four pet turtles were bathed in alien ooze, they began to mutate and became the Teenage Mutant Ninja Turtles. Raised in New York City sewers by their foster father and wise sensei, Master Splinter, Leonardo, Michelangelo, Donatello, and Raphael wage war against crime. Led by Master Splinter, the four turtles learn the ancient martial art of Ninjitsu, mastering skills of stealth, weapons, and fighting. They stop evildoers in all forms, whether barbaric gangs, lowlife crooks, deranged cyborgs, or even the crime syndicate The Foot, led by their archrival, The Shredder.			https://www.streamwithvpn.com/teenage-mutant-ninja-turtles-2003	success
tt1302011	movie	Kung Fu Panda 2	2011.0	\N	0.0	90	Action,Adventure,Animation	7.3	346081.0	Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past.			https://www.streamwithvpn.com/kung-fu-panda-2-2011	success
tt0060176		Blow-Up											https://www.streamwithvpn.com/blow-up-1966	request_error: 404 Client Error: Not Found for url: https://www.streamwithvpn.com/blow-up
tt0115355	tvSeries	Silent Witness	1996.0	\N	0.0	120	Crime,Drama,Mystery	7.9	14361.0	A team of exceptional forensic pathologists and scientists investigate heinous crimes and use their skills to catch the people responsible.			https://www.streamwithvpn.com/silent-witness-1996	success
tt1936532	tvSeries	Major Crimes	2012.0	2018	0.0	43	Action,Crime,Drama	7.8	17084.0	Major Crimes explores how the American justice system approaches the art of the deals as law enforcement officers and prosecutors work together to score a conviction. Los Angeles Police Captain Sharon Raydor heads up a special squad within the LAPD that deals with high-profile or particularly sensitive crimes.			https://www.streamwithvpn.com/major-crimes-2012	success
tt10577736	tvSeries	Tehran	2020.0	\N	0.0	45	Action,Crime,Drama	7.6	27549.0	Tamar is a Mossad hacker-agent who infiltrates Tehran under a false identity to help destroy Iran's nuclear reactor. But when her mission fails, Tamar must plan an operation that will place everyone dear to her in jeopardy.			https://www.streamwithvpn.com/tehran-2020	success
tt0165832	movie	Interstate 60	2002.0	\N	0.0	116	Adventure,Comedy,Drama	7.5	39722.0	An aspiring painter meets various characters and learns valuable lessons while traveling across America.			https://www.streamwithvpn.com/interstate-60-2002	success
tt8515016	tvSeries	Banana Fish	2018.0	2018	0.0	22	Action,Adventure,Animation	8.1	10879.0	A teenaged gang leader in New York City faces his abuser and rival gangs alongside a photojournalist from Japan as they investigate a deadly new drug.			https://www.streamwithvpn.com/banana-fish-2018	success
tt0320661	movie	Kingdom of Heaven	2005.0	\N	0.0	144	Action,Adventure,Drama	7.3	341265.0	After his wife dies, a blacksmith named Balian is thrust into royalty, political intrigue and bloody holy wars during the Crusades.			https://www.streamwithvpn.com/kingdom-of-heaven-2005	success
tt0311594		Nuvvu Naaku Nachchav											https://www.streamwithvpn.com/nuvvu-naaku-nachchav-2001	request_error: 404 Client Error: Not Found for url: https://www.streamwithvpn.com/nuvvu-naaku-nachchav
